od_id,dist_short_m,dist_fast_m,dist_eco_m,dist_rec_m,time_short_s,time_fast_s,time_eco_s,time_rec_s,co2_short_g,co2_fast_g,co2_eco_g,co2_rec_g,system_choice,saved_vs_short_pct,saved_vs_fast_pct
32,1294.8,1345.9,1377.2,1377.2,130.0,164.0,89.0,89.0,776.06,894.16,638.98,638.98,低碳走廊,17.66,28.54
33,2504.2,2889.9,2897.2,2889.9,248.0,194.0,232.0,194.0,931.83,1018.98,1193.95,1018.98,最快路线,0.0,0.0
34,1448.5,1448.5,1651.9,1448.5,174.0,174.0,210.0,174.0,681.58,681.58,921.05,681.58,最短路线,0.0,0.0
35,2907.3,3181.5,3181.5,3181.5,342.0,238.0,238.0,238.0,1399.61,1314.6,1314.6,1314.6,最快路线,6.07,0.0
36,1673.5,1706.3,1706.3,1673.5,172.0,187.0,187.0,172.0,787.08,908.08,908.08,787.08,最短路线,0.0,13.32
37,2194.9,2215.2,2226.8,2194.9,271.0,323.0,323.0,271.0,1284.45,1511.44,1467.37,1284.45,最短路线,0.0,15.02
38,1416.3,1431.4,1480.8,1480.8,183.0,180.0,170.0,170.0,845.41,861.91,820.21,820.21,低碳走廊,2.98,4.84
39,3548.1,3561.8,3581.5,3581.5,218.0,214.0,202.0,202.0,1142.73,1133.08,1023.91,1023.91,低碳走廊,10.4,9.63
40,1465.7,1465.7,1466.8,1466.8,193.0,193.0,193.0,193.0,793.8,793.8,783.5,783.5,低碳走廊,1.3,1.3
41,4029.3,4124.5,4313.2,4313.2,464.0,465.0,297.0,297.0,2063.71,2270.42,1801.56,1801.56,低碳走廊,12.7,20.65
42,2163.0,2179.4,2271.8,2179.4,165.0,161.0,178.0,161.0,802.57,776.41,859.54,776.41,最快路线,3.26,0.0
43,2520.1,2611.6,2611.6,2611.6,255.0,239.0,239.0,239.0,1169.08,1104.99,1104.99,1104.99,最快路线,5.48,0.0
44,4611.8,4689.5,4979.4,4611.8,656.0,657.0,596.0,656.0,2509.29,2588.51,2547.81,2509.29,最短路线,0.0,3.06
45,3756.9,3904.5,3904.5,3904.5,242.0,222.0,222.0,222.0,1315.54,1272.54,1272.54,1272.54,最快路线,3.27,0.0
46,1452.9,1452.9,1492.2,1452.9,112.0,112.0,120.0,112.0,540.57,540.57,545.26,540.57,最短路线,0.0,0.0
47,1433.4,1474.3,1474.3,1433.4,160.0,226.0,226.0,160.0,681.26,959.92,959.92,681.26,最短路线,0.0,29.03
48,1829.4,1856.6,2401.5,1856.6,204.0,193.0,196.0,193.0,887.25,847.86,941.51,847.86,最快路线,4.44,0.0
49,1567.4,1696.5,1696.5,1696.5,333.0,106.0,106.0,106.0,1257.06,686.78,686.78,686.78,最快路线,45.37,0.0
50,2081.7,2098.1,2098.1,2098.1,263.0,263.0,263.0,263.0,1076.5,1057.67,1057.67,1057.67,最快路线,1.75,0.0
